# pinyin	candidates
ni	你 妮 尼 呢 逆
mi	米 迷 密 蜜 秘
hao	好 号 浩 毫 豪
nihao	你好 你 好
wo	我 握 窝 沃
shi	是 时 事 市 十 使 师
de	的 得 地 德
le	了 乐 勒
ma	吗 妈 马 嘛 麻
zai	在 再 载
bu	不 部 步 布
yao	要 药 邀
you	有 又 由 友 优
mei	没 每 美
hen	很 恨 痕
xie	谢 写 些
xiexie	谢谢
qing	请 清 情 青
wen	问 文 稳
qingwen	请问
dui	对 队
buqi	不起
duibuqi	对不起
ke	可 课 科
yi	以 一 已 也 意
keyi	可以
zhong	中 种 重 众
guo	国 过 果
zhongguo	中国
ren	人 认 任
min	民 敏
renmin	人民
jin	今 进 金 近
tian	天 田 添
jintian	今天
ming	明 名 命
mingtian	明天
zuo	昨 做 作 坐
zuotian	昨天
xian	现 先 线 显
xianzai	现在
shijian	时间
di	第 地 低
ge	个 各 哥
yige	一个
zhe	这 着 者
zhege	这个
na	那 哪 拿
nage	那个
he	和 喝 合
ai	爱
woaini	我爱你
jia	家 加 价
gong	工 公 共
gongzuo	工作
xue	学 雪
xuesheng	学生
lao	老
laoshi	老师
peng	朋
pengyou	朋友
shou	手 收 首
ji	机 及 几
shouji	手机
dian	电 点 店
nao	脑 闹
diannao	电脑
jian	键 见 件
pan	盘 判
jianpan	键盘
shuru	输入
fa	法 发
shurufa	输入法
zhongwen	中文
yingwen	英文
kaifa	开发
xiangmu	项目
banben	版本
gongneng	功能
houxuan	候选
cidian	词典
ciku	词库
lianxi	练习
ceshi	测试
kaishi	开始
jieshu	结束
fanhui	返回
sousuo	搜索
fasong	发送
wancheng	完成
huanhang	换行
kongge	空格
